name,lat,long
Wunsiedel,50.0374,11.9994
Herzberg,51.6831,13.2331
Plön,54.1622,10.4214
Schleiz,50.5833,11.8167
Tirschenreuth,49.8789,12.3369
Beeskow,52.1667,14.25
Daun,50.1986,6.8319
Simmern,49.9833,7.5167
Kirchheimbolanden,49.6664,8.0117
Freyung,48.8075,13.5475
Birkenfeld,49.65,7.1833
Altenkirchen,50.6872,7.6456
Seelow,52.5167,14.3831
Kusel,49.5347,7.3981
Cochem,50.1469,7.1667
Offenbach,50.1006,8.7665
Weiden,49.6768,12.1561
Nienburg,52.6461,9.2208
Verden,52.9234,9.2349
Köthen,51.7518,11.9709
Rotenburg,53.0851,9.3879
Karlstadt,49.9603,9.7724
Homberg,51.0299,9.4026
Garmisch-Partenkirchen,47.4985,11.1044
